alcaldia,colonia,nombre,titular,tel,direccion,latitud,longitud
GUSTAVO A. MADERO,GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),Hospital General La Villa,Director: Dr. Enrique Garduño Salvador,55 77 88 67,"Av. San Juan de Aragón No 28, Col. Granjas Modernas. Delegación Gustavo A. Madero C.P. 07460.",19.480774,-99.103371
MILPA ALTA,VILLA MILPA ALTA (PBLO),Hospital General Milpa Alta,NA,NA,Dr.Benjamín Ortega Romero,19.200199,-99.011253
GUSTAVO A. MADERO,LA PURISIMA TICOMAN (BARR),Hospital General Ticomán,Director: Dr. Carlos Vazquez Noriega,57 54 39 79,"Plan de San Luis S/n, Col. Ticomán Delegación Gustavo A. Madero. C.P. 07330.",19.514547,-99.138245
MIGUEL HIDALGO,SANTO TOMAS,Hospital General Dr. Rubén Leñero,Director: Dr. José Alfredo Jiménez Douglas,53 41 17 93,"Plan de San Luis y Díaz Mirón, Col. Casco de Santo Tomás Delegación Miguel Hidalgo C.P. 11340.",19.450987,-99.169189
IZTAPALAPA,SANTA MARIA AZTAHUACAN (U HAB),Hospital General Iztapalapa C.E.E.,Director: Dr. Benjamín Méndez Pinto,54293212,"Avenida Ermita Iztapalapa no. 3018, Col. Citlali; Delegación Iztapalapa, CP 09660",19.343451,-99.027863
IZTAPALAPA,GRANJAS SAN ANTONIO,Hospital Pediátrico Iztapalapa,Director: Dr. Ramón Carballo Herrada,56 85 94 16,"Calzada Ermita Iztapalapa No. 780, Col. Granjas San Antonio, Delegación Iztapalapa C.P. 09070.",19.356548,-99.107689
VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION II,Hospital Pediátrico Moctezuma,Director: Dr. Enrique Grania Pozada,55 71 40 57,"Oriente 158 No. 189, Col. Moctezuma 2da. Sección, Delegación Venustiano Carranza C.P. 15530.",19.432852,-99.098358
COYOACAN,SANTA CATARINA (BARR),Hospital Pediátrico Coyoacán,Director: Dr. Miguel Camarillo Valencia,55 54 28 60,"Moctezuma No. 18, Col. Del Carmen Coyoacán, Delegación Coyoacán C.P. 0400.",19.345737,-99.167725
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 1A SECCION (U HAB) I,Hospital Pediátrico San Juan de Aragón,Director: Dr. Raúl Contreras Artine,55 51 00 03,"Av. 506 entre calle 517 y 521, Col. San Juan de Aragón 1a. Sección Del. Gustavo A. Madero C.P. 07969.",19.457306,-99.092812
GUSTAVO A. MADERO,VILLA GUSTAVO A MADERO,Hospital Pediátrico Villa,Director: Dra. María del Rocío Lima Carcaño,57 81 20 69,"Avenida Cantera, Esq. Hidalgo S/n, Col. Estanzuela Delegación Gustavo A. Madero C.P. 07050.",19.487551,-99.113876
IZTACALCO,SANTA ANITA,Hospital Pediátrico Iztacalco,Director: Dr. Hugo Caballero Novara,56 57 93 75,"Avenida Coyuya y Terraplén de Río Frío S/n, Col. La Cruz, Delegación Iztacalco C.P. 08310.",19.402376,-99.117943
CUAUHTEMOC,SAN SIMON TOLNAHUAC,Hospital Pediátrico Peralvillo,Director: Dr. Emilio Escobar Picazo,55 83 41 80,"Tolnahuac No. 14, Col. San Simón Delegación Cuauhtémoc C.P. 06920.",19.460251,-99.141022
VENUSTIANO CARRANZA,FELIPE ANGELES,Hospital Materno Infantil Iniguarán,Director: Dr. Martín Viveros Alcaraz,57 95 67 64,"Estaño No. 307, Esq. Congreso de la Unión, Col. Felipe Ángeles Delegación Venustiano Carranza C.P 15310.",19.452307,-99.113228
XOCHIMILCO,XALTOCAN (BARR),Hospital Materno Infantil Xochimilco,Director: Dr. Victor Hugo Pulido Olivares,56 76 49 93,"Prolongación 16 de Septiembre y Calzada Nativitas, Barrio Xaltocan, Delegación Xochimilco C.P. 16090.",19.254906,-99.104958
BENITO JUAREZ,GENERAL PEDRO MARIA ANAYA,Hospital General Xoco,Director: Dr.Jorge Arturo Aviña Valencia,56 88 91 31,"Av. México Coyoacán s/n, Esq. Bruno Traven, Col. General Anaya, Delegación Benito Juárez C.P. 30340.",19.36005,-99.163162
